FighterA,FighterB,ReachA,ReachB,HeightA,HeightB,WeightA,WeightB,AgeA,AgeB,WinsA,WinsB,LossesA,LossesB,DrawsA,DrawsB,TotalFightsA,TotalFightsB,WinPercA,WinPercB,KOPercA,KOPercB,RecentWinsA,RecentWinsB,RecentWinPercA,RecentWinPercB,TimeSinceLastFightA,TimeSinceLastFightB,PunchAccuracyA,PunchAccuracyB,PunchesLandedPerRoundA,PunchesLandedPerRoundB,PunchesAbsorbedPerRoundA,PunchesAbsorbedPerRoundB,DefensePercA,DefensePercB,AvgOpponentWinPercA,AvgOpponentWinPercB,StrengthOfScheduleA,StrengthOfScheduleB,StanceA,StanceB,WeightClassA,WeightClassB,TitleFight,LocationAdvantage,Result
Dmitry Bivol,Canelo Alvarez,183,179,183,171,174.0,174.0,31,31,19,57,0,2,0,2,19.0,61.0,1.0,0.9,0.53,0.65,5.0,5.0,1.0,1.0,180,175,35,33,10,13,5,7,60.0,55.0,0.7,0.78,8,10,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Muhammad Ali,Joe Frazier,198,187,191,182,215.0,205.5,29,27,56,32,5,4,0,1,61.0,37.0,0.92,0.87,0.61,0.84,5.0,5.0,1.0,1.0,120,120,32,28,13,17,5,12,55.0,48.0,0.76,0.74,10,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,0.0
Thomas Hearns,Marvin Hagler,198,191,185,178,159.5,159.0,26,30,61,62,5,3,1,2,67.0,67.0,0.91,0.93,0.75,0.78,5.0,5.0,1.0,1.0,120,120,35,32,25,27,14,12,52.0,54.0,0.74,0.76,9,10,Orthodox,Southpaw,Middleweight,Middleweight,1,0.0,0.0
Floyd Mayweather,Manny Pacquiao,183,170,173,165,154.0,154.0,38,36,50,62,0,8,0,2,50.0,72.0,1.0,0.86,0.55,0.65,5.0,5.0,1.0,1.0,120,120,43,35,20,22,9,13,60.0,52.0,0.78,0.76,10,10,Orthodox,Southpaw,Welterweight,Welterweight,1,0.0,1.0
Lennox Lewis,Vitali Klitschko,213,201,196,201,244.0,248.5,37,31,41,45,2,2,1,0,44.0,47.0,0.93,0.96,0.73,0.87,5.0,5.0,1.0,1.0,120,120,33,32,16,17,10,8,56.0,58.0,0.75,0.72,10,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Rocky Marciano,Jersey Joe Walcott,170,188,178,183,184.0,196.5,29,38,49,51,0,18,0,2,49.0,71.0,1.0,0.72,0.87,0.58,5.0,5.0,1.0,1.0,120,120,31,30,17,13,10,12,54.0,52.0,0.7,0.68,8,8,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Prince Naseem Hamed,Kevin Kelley,160,180,160,170,154.0,154.0,23,30,36,60,1,10,0,2,37.0,72.0,0.97,0.83,0.8,0.7,5.0,5.0,1.0,1.0,120,120,34,32,22,20,12,15,54.0,49.0,0.7,0.68,8,7,Orthodox,Orthodox,Featherweight,Featherweight,1,0.0,1.0
Roy Jones Jr.,James Toney,188,188,180,175,168.0,168.0,25,26,66,77,9,10,0,3,75.0,90.0,0.88,0.86,0.63,0.6,5.0,5.0,1.0,1.0,120,120,36,33,24,23,11,12,58.0,56.0,0.74,0.73,9,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
Shane Mosley,Fernando Vargas,188,188,175,178,152.0,153.0,34,28,49,26,10,5,1,0,60.0,31.0,0.82,0.84,0.59,0.69,4.0,4.0,0.8,0.8,150,150,34,32,22,21,13,15,52.0,48.0,0.72,0.7,8,8,Orthodox,Orthodox,SuperWelterweight,SuperWelterweight,0,0.0,1.0
Oleksandr Usyk,Anthony Joshua,198,208,191,198,221.0,240.0,34,31,22,28,0,3,0,0,22.0,31.0,1.0,0.9,0.64,0.88,5.0,4.0,1.0,0.8,120,180,34,34,18,17,9,11,60.0,55.0,0.76,0.72,10,9,Southpaw,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
